Upper Lat,Upper Lon,Lower Lat,Lower Lon,Energy stoage MWh per ha,GWh,h
-21.1106,148.5092,-21.1422,148.5431,23,2,6
-21.0697,148.5506,-21.1222,148.5758,40,2,6
-21.0558,148.5653,-21.1103,148.5747,66,2,6
-21.0892,148.5253,-21.1403,148.5572,25,2,6
-37.2339,147.2244,-37.2708,147.2683,76,2,6
-32.7042,150.2547,-32.7153,150.3128,40,2,6
-30.5739,152.0058,-30.6019,152.0092,37,2,6
-30.3964,152.7175,-30.4294,152.7408,33,2,6
-30.3906,152.6864,-30.4331,152.6928,17,2,6
-30.3944,152.7139,-30.4331,152.7094,33,2,6
-30.9531,151.8978,-30.9439,151.9203,52,2,6
-30.7167,151.8528,-30.6953,151.9047,39,2,6
-30.5872,151.9861,-30.6128,151.9978,44,2,6
-30.7608,151.8694,-30.7681,151.8897,45,2,6
-36.4922,147.8811,-36.4756,147.8328,58,2,6
-37.3369,148.8556,-37.3664,148.8956,60,2,6
-37.1419,148.0917,-37.1831,148.1111,44,2,6
-37.1722,148.0489,-37.2033,148.1056,43,2,6
-31.6172,151.76,-31.6294,151.7406,48,2,6
-31.5183,151.4331,-31.5675,151.42,48,2,6
-31.6819,151.2494,-31.7067,151.215,34,2,6
-37.8175,146.2292,-37.8606,146.2036,66,2,6
-16.1392,144.9636,-16.1056,144.9442,40,2,6
-21.0286,148.5883,-21.0911,148.6353,41,2,6
-21.0869,148.5275,-21.1386,148.5319,26,2,6
-21.0817,148.5194,-21.1378,148.5675,33,2,6
-21.0744,148.54,-21.1275,148.5756,54,2,6
-21.0675,148.5606,-21.1094,148.5711,76,2,6
-21.045,148.5717,-21.1367,148.5831,26,2,6
-21.1783,148.5617,-21.1408,148.5997,31,2,6
-21.2311,148.5511,-21.2536,148.6125,23,2,6
-21.1739,148.5681,-21.1436,148.6019,37,2,6
-19.3219,146.4481,-19.3308,146.4819,38,2,6
-19.4303,146.5561,-19.4372,146.5869,20,2,6
-41.995,147.1853,-41.9939,147.2494,44,2,6
-41.4,147.3897,-41.4444,147.32,32,2,6
-41.4389,147.6861,-41.4372,147.7186,30,2,6
-41.2953,147.2753,-41.2889,147.1969,30,2,6
-41.9853,147.1689,-41.9594,147.2511,38,2,6
-41.3389,147.6886,-41.2931,147.6994,21,2,6
-41.3364,147.9717,-41.2828,148.0425,4,2,6
-35.9533,149.0486,-35.9214,149.1017,15,2,6
-35.6211,149.7183,-35.6283,149.7925,24,2,6
-35.5283,149.9508,-35.5519,150.0158,46,2,6
-36.4914,148.0014,-36.4442,148.0489,66,2,6
-34.3272,150.0242,-34.3044,150.0558,60,2,6
-34.6247,150.7058,-34.6389,150.7642,34,2,6
-34.6017,150.6664,-34.5756,150.7,30,2,6
-34.6075,150.6706,-34.5775,150.7083,25,2,6
-34.6222,150.5764,-34.6644,150.6031,16,2,6
-34.3175,150.0272,-34.2936,150.0725,48,2,6
-34.5783,150.6275,-34.5758,150.6906,40,2,6
-34.6647,150.4964,-34.6903,150.5311,28,2,6
-34.6594,150.5814,-34.6989,150.5981,30,2,6
-34.6078,150.6536,-34.5742,150.7231,22,2,6
-36.6217,149.4361,-36.6153,149.5086,36,2,6
-36.6058,149.4431,-36.6039,149.4869,62,2,6
-36.8578,149.4469,-36.9117,149.4842,47,2,6
-36.5708,149.4364,-36.6106,149.5028,54,2,6
-36.5228,149.4722,-36.5822,149.5558,34,2,6
-36.6342,149.4464,-36.6425,149.5233,52,2,6
-36.6289,149.4467,-36.6119,149.5417,31,2,6
-42.6681,147.0458,-42.6328,147.1111,24,2,6
-42.0008,147.1889,-41.9939,147.2494,52,2,6
-42.6742,147.0553,-42.6564,147.135,25,2,6
-28.6614,152.1844,-28.6761,152.2261,33,2,6
-28.6558,152.2064,-28.6728,152.2478,40,2,6
-28.7067,152.1286,-28.6917,152.2053,29,2,6
-28.3164,152.3669,-28.3194,152.3444,23,2,6
-28.6406,152.2053,-28.6575,152.2597,27,2,6
-28.7158,152.1169,-28.7236,152.1861,28,2,6
-32.0339,151.1969,-31.9894,151.1914,52,2,6
-20.8692,148.5728,-20.8494,148.6136,30,2,6
-20.7192,148.4281,-20.7181,148.4872,25,2,6
-20.8622,148.585,-20.8517,148.6117,51,2,6
-20.7528,148.4489,-20.7358,148.5022,24,2,6
-20.7606,148.4606,-20.7506,148.5017,31,2,6
-20.8669,148.5914,-20.8336,148.6122,37,2,6
-20.7786,148.4581,-20.7606,148.5011,33,2,6
-20.8406,148.5481,-20.8019,148.5758,44,2,6
-20.6389,148.3331,-20.6206,148.3675,46,2,6
-20.7525,148.4408,-20.7247,148.5081,26,2,6
-20.8017,148.5167,-20.7711,148.5561,21,2,6
-37.9022,145.7922,-37.9342,145.7461,57,2,6
-37.3875,145.8303,-37.3225,145.8614,76,2,6
-37.4361,145.8053,-37.5058,145.7778,58,2,6
-37.4261,145.6358,-37.3819,145.6856,51,2,6
-37.43,145.8256,-37.4753,145.7486,41,2,6
-37.8383,145.9072,-37.8769,145.8983,48,2,6
-37.4111,145.9289,-37.4158,146.0211,74,2,6
-37.3739,145.8067,-37.3325,145.7375,51,2,6
-37.4372,145.8408,-37.4981,145.8036,83,2,6
-37.3675,145.8086,-37.3267,145.7589,58,2,6
-37.3514,145.8256,-37.3039,145.8469,71,2,6
-37.4083,145.8081,-37.4028,145.7172,50,2,6
-37.7739,145.9914,-37.8103,145.9867,37,2,6
-37.375,145.8164,-37.3339,145.7756,90,2,6
-37.9106,145.8419,-37.9397,145.8683,33,2,6
-37.8167,145.9211,-37.8375,145.9636,47,2,6
-37.8261,145.8492,-37.8658,145.8439,34,2,6
-37.5619,145.7675,-37.5397,145.6928,34,2,6
-37.3389,145.6044,-37.3619,145.5608,38,2,6
-37.4061,145.63,-37.3708,145.6869,31,2,6
-37.8325,145.8931,-37.8883,145.9164,38,2,6
-37.3825,145.8119,-37.3353,145.7628,83,2,6
-41.8469,145.4803,-41.8167,145.4617,22,2,6
-41.8406,145.5217,-41.7997,145.5139,64,2,6
-41.8494,145.4725,-41.8086,145.4531,58,2,6
-37.2775,147.1919,-37.2867,147.1431,68,2,6
-37.3078,147.1792,-37.3008,147.1344,80,2,6
-37.065,147.92,-37.0567,147.8775,83,2,6
-37.5017,147.0122,-37.5572,147.0558,80,2,6
-37.2319,147.2181,-37.225,147.2514,83,2,6
-37.2353,147.925,-37.2714,147.8608,58,2,6
-37.5122,147.0111,-37.5683,146.9764,80,2,6
-37.2289,147.2017,-37.2789,147.1522,80,2,6
-37.2631,147.9464,-37.3092,147.8897,74,2,6
-37.1761,147.9031,-37.1883,147.8494,80,2,6
-37.15,147.9225,-37.1408,147.8467,54,2,6
-37.2756,147.9628,-37.3139,147.9939,74,2,6
-37.1208,147.6997,-37.1719,147.6975,71,2,6
-37.2167,147.1958,-37.215,147.2439,71,2,6
-37.2247,147.1997,-37.2661,147.1447,71,2,6
-37.2736,147.415,-37.3242,147.385,46,2,6
-21.7683,149.0253,-21.7572,148.9869,31,2,6
-24.8933,148.1897,-24.8583,148.1767,47,2,6
-31.2742,152.1397,-31.3197,152.1892,58,2,6
-31.5947,152.4119,-31.5672,152.4042,35,2,6
-31.6417,152.2614,-31.6811,152.2647,34,2,6
-31.6406,152.4067,-31.6822,152.4497,43,2,6
-31.5869,152.4978,-31.5561,152.4897,27,2,6
-30.3919,152.6733,-30.43,152.6686,33,2,6
-30.7014,152.0119,-30.7364,152.0183,48,2,6
-30.9675,152.2847,-30.9481,152.3183,47,2,6
-30.3742,152.6742,-30.4231,152.6394,64,2,6
-30.3678,152.6017,-30.4042,152.6347,80,2,6
-30.3658,152.635,-30.4106,152.6394,80,2,6
-30.7997,152.1908,-30.7522,152.1894,37,2,6
-30.6511,152.0586,-30.6808,152.0717,54,2,6
-30.695,152.0061,-30.7217,152.0308,57,2,6
-30.3925,152.74,-30.4328,152.7631,40,2,6
-30.4008,152.7006,-30.4422,152.695,66,2,6
-30.355,152.2856,-30.3019,152.2967,46,2,6
-30.8308,152.2425,-30.7856,152.3053,43,2,6
-30.3183,152.9028,-30.3572,152.9164,35,2,6
-30.3997,152.7267,-30.4178,152.7789,58,2,6
