Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,070247,1990,24.3,20.4,17.7,11.1,9.2,7.5,8.5,10.6,15.8,21.4,28.2,28.3,16.9
IDCJAC0003,070247,1991,26.2,24.6,21.7,15.2,11.3,6.5,8.4,11.4,15.7,23.7,26.5,23.5,17.9
IDCJAC0003,070247,1992,27.3,19.1,18.7,12.9,10.1,7.8,8.8,11.9,14.8,17.4,22.9,22.9,16.2
IDCJAC0003,070247,1993,25.9,21.9,17.1,14.7,10.4,8.3,7.8,10.1,14.5,20.4,25.7,23.0,16.6
IDCJAC0003,070247,1994,29.1,21.6,18.5,12.9,9.4,7.3,10.1,14.8,17.1,20.5,22.4,28.2,17.7
IDCJAC0003,070247,1995,21.2,24.6,19.4,14.8,8.5,6.9,8.4,14.2,15.2,21.1,19.7,27.8,16.8
IDCJAC0003,070247,1996,23.6,22.3,19.4,13.4,10.1,8.0,7.9,12.4,17.4,21.3,25.6,26.6,17.3
IDCJAC0003,070247,1997,25.7,24.3,19.4,16.4,10.0,8.4,10.0,13.5,14.9,24.6,26.4,28.7,18.5
IDCJAC0003,070247,1998,23.0,25.3,20.8,13.2,9.2,7.5,8.5,10.4,16.0,20.8,23.9,27.4,17.2
IDCJAC0003,070247,1999,24.4,23.1,17.8,13.8,11.1,8.5,9.4,13.2,16.2,17.5,25.0,25.1,17.1
IDCJAC0003,070247,2000,27.2,23.3,16.3,13.2,9.5,8.6,8.9,11.6,16.8,19.7,19.5,30.3,17.1
IDCJAC0003,070247,2001,23.8,21.8,19.0,13.8,11.0,8.4,8.5,12.0,16.9,21.4,23.8,27.2,17.3
IDCJAC0003,070247,2002,27.7,20.4,20.2,14.3,10.0,8.6,9.9,14.1,17.7,22.4,24.9,26.5,18.1
IDCJAC0003,070247,2003,27.3,22.9,20.1,13.7,10.5,8.0,9.6,11.7,18.6,20.2,25.3,26.5,17.9
IDCJAC0003,070247,2004,26.8,23.4,20.9,14.2,11.0,8.6,8.8,12.3,16.8,21.0,25.5,26.7,18.0
IDCJAC0003,070247,2005,26.2,21.8,20.0,15.3,11.4,7.2,8.7,13.4,15.7,19.6,25.5,null,null
IDCJAC0003,070247,2006,25.0,26.9,19.9,15.4,10.1,7.7,8.6,13.6,18.1,24.8,25.4,26.1,18.5
IDCJAC0003,070247,2007,28.2,22.4,18.6,14.2,10.1,7.7,9.3,12.3,17.6,22.4,22.7,23.4,17.4
IDCJAC0003,070247,2008,25.9,21.8,19.5,14.6,10.9,7.6,8.5,12.6,18.2,22.8,22.8,26.2,17.6
IDCJAC0003,070247,2009,30.5,22.1,18.8,12.9,9.9,7.1,9.2,12.1,16.6,18.4,25.2,28.0,17.6
IDCJAC0003,070247,2010,29.0,21.1,18.2,14.1,10.2,8.7,9.0,11.9,16.9,19.3,21.1,25.3,17.1
IDCJAC0003,070247,2011,23.5,19.8,16.3,13.6,10.4,8.3,8.3,11.8,16.0,19.3,21.6,24.5,16.1
IDCJAC0003,070247,2012,25.7,18.8,14.8,13.3,10.6,7.5,9.4,12.4,17.1,22.4,22.3,25.8,16.7
IDCJAC0003,070247,2013,27.5,20.4,20.1,14.0,10.2,7.3,8.2,12.0,15.9,21.7,22.2,26.4,17.2
IDCJAC0003,070247,2014,26.9,21.6,15.5,11.9,10.2,7.3,8.8,12.5,16.3,20.8,23.4,25.3,16.7
IDCJAC0003,070247,2015,22.8,20.0,18.8,10.2,10.0,8.5,8.7,11.2,17.4,20.5,23.3,27.3,16.6
IDCJAC0003,070247,2016,20.4,24.3,17.6,14.7,10.6,7.4,9.0,11.8,13.5,19.0,26.4,23.4,16.5
IDCJAC0003,070247,2017,24.9,20.5,15.0,12.7,10.3,9.1,9.7,12.8,17.5,20.5,23.1,22.7,16.6
IDCJAC0003,070247,2018,23.6,21.9,18.5,14.0,10.3,8.3,10.6,12.1,17.1,19.4,21.8,25.1,16.9
IDCJAC0003,070247,2019,25.5,22.8,18.5,null,null,null,null,null,null,null,null,null,null
