-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2017 through 12/31/2017 ,,,,,,,,,,,,,,,,
Location: Regional ,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na ,,,,,,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-29.75,119.25,ALLSKY_SFC_LW_DWN,2017,9.02,9.57,9.03,7.96,7.29,6.99,6.84,7.28,7.43,7.54,8.51,8.75,8
-29.75,119.75,ALLSKY_SFC_LW_DWN,2017,9.02,9.57,9.03,7.96,7.29,6.99,6.84,7.28,7.43,7.54,8.51,8.75,8
-29.75,120.25,ALLSKY_SFC_LW_DWN,2017,9.08,9.53,9,7.9,7.23,6.99,6.75,7.31,7.44,7.6,8.5,8.81,8
-29.75,120.75,ALLSKY_SFC_LW_DWN,2017,9.08,9.53,9,7.9,7.23,6.99,6.75,7.31,7.44,7.6,8.5,8.81,8
-29.75,121.25,ALLSKY_SFC_LW_DWN,2017,9.17,9.49,8.98,7.85,7.23,6.97,6.74,7.35,7.45,7.68,8.51,8.81,8
-29.75,121.75,ALLSKY_SFC_LW_DWN,2017,9.17,9.49,8.98,7.85,7.23,6.97,6.74,7.35,7.45,7.68,8.51,8.81,8
-29.75,122.25,ALLSKY_SFC_LW_DWN,2017,9.19,9.32,8.86,7.82,7.27,6.93,6.73,7.31,7.46,7.73,8.54,8.83,7.98
-29.75,122.75,ALLSKY_SFC_LW_DWN,2017,9.19,9.32,8.86,7.82,7.27,6.93,6.73,7.31,7.46,7.73,8.54,8.83,7.98
-29.75,123.25,ALLSKY_SFC_LW_DWN,2017,9.17,9.17,8.77,7.76,7.26,6.94,6.69,7.28,7.48,7.8,8.57,8.8,7.96
-29.75,123.75,ALLSKY_SFC_LW_DWN,2017,9.17,9.17,8.77,7.76,7.26,6.94,6.69,7.28,7.48,7.8,8.57,8.8,7.96
-29.25,119.25,ALLSKY_SFC_LW_DWN,2017,9.02,9.57,9.03,7.96,7.29,6.99,6.84,7.28,7.43,7.54,8.51,8.75,8
-29.25,119.75,ALLSKY_SFC_LW_DWN,2017,9.02,9.57,9.03,7.96,7.29,6.99,6.84,7.28,7.43,7.54,8.51,8.75,8
-29.25,120.25,ALLSKY_SFC_LW_DWN,2017,9.08,9.53,9,7.9,7.23,6.99,6.75,7.31,7.44,7.6,8.5,8.81,8
-29.25,120.75,ALLSKY_SFC_LW_DWN,2017,9.08,9.53,9,7.9,7.23,6.99,6.75,7.31,7.44,7.6,8.5,8.81,8
-29.25,121.25,ALLSKY_SFC_LW_DWN,2017,9.17,9.49,8.98,7.85,7.23,6.97,6.74,7.35,7.45,7.68,8.51,8.81,8
-29.25,121.75,ALLSKY_SFC_LW_DWN,2017,9.17,9.49,8.98,7.85,7.23,6.97,6.74,7.35,7.45,7.68,8.51,8.81,8
-29.25,122.25,ALLSKY_SFC_LW_DWN,2017,9.19,9.32,8.86,7.82,7.27,6.93,6.73,7.31,7.46,7.73,8.54,8.83,7.98
-29.25,122.75,ALLSKY_SFC_LW_DWN,2017,9.19,9.32,8.86,7.82,7.27,6.93,6.73,7.31,7.46,7.73,8.54,8.83,7.98
-29.25,123.25,ALLSKY_SFC_LW_DWN,2017,9.17,9.17,8.77,7.76,7.26,6.94,6.69,7.28,7.48,7.8,8.57,8.8,7.96
-29.25,123.75,ALLSKY_SFC_LW_DWN,2017,9.17,9.17,8.77,7.76,7.26,6.94,6.69,7.28,7.48,7.8,8.57,8.8,7.96
-28.75,119.25,ALLSKY_SFC_LW_DWN,2017,9.33,9.68,9.17,8,7.23,6.95,6.72,7.37,7.43,7.6,8.57,8.98,8.07
-28.75,119.75,ALLSKY_SFC_LW_DWN,2017,9.33,9.68,9.17,8,7.23,6.95,6.72,7.37,7.43,7.6,8.57,8.98,8.07
-28.75,120.25,ALLSKY_SFC_LW_DWN,2017,9.41,9.64,9.16,7.93,7.21,6.93,6.69,7.4,7.44,7.69,8.62,9.01,8.08
-28.75,120.75,ALLSKY_SFC_LW_DWN,2017,9.41,9.64,9.16,7.93,7.21,6.93,6.69,7.4,7.44,7.69,8.62,9.01,8.08
-28.75,121.25,ALLSKY_SFC_LW_DWN,2017,9.48,9.57,9.13,7.87,7.22,6.93,6.68,7.37,7.44,7.74,8.64,9.02,8.07
-28.75,121.75,ALLSKY_SFC_LW_DWN,2017,9.48,9.57,9.13,7.87,7.22,6.93,6.68,7.37,7.44,7.74,8.64,9.02,8.07
-28.75,122.25,ALLSKY_SFC_LW_DWN,2017,9.46,9.43,9.01,7.85,7.22,6.89,6.65,7.34,7.45,7.81,8.63,8.96,8.04
-28.75,122.75,ALLSKY_SFC_LW_DWN,2017,9.46,9.43,9.01,7.85,7.22,6.89,6.65,7.34,7.45,7.81,8.63,8.96,8.04
-28.75,123.25,ALLSKY_SFC_LW_DWN,2017,9.45,9.31,8.89,7.83,7.23,6.93,6.66,7.31,7.51,7.92,8.64,8.89,8.03
